INSTNM,STABBR,year,earnings_med,count_not_working,count_working
University of California-Los Angeles,CA,2007,62500,652,5559
University of California-Riverside,CA,2007,57500,262,2533
University of California-San Diego,CA,2007,60300,334,3710
University of California-Santa Barbara,CA,2007,56000,371,3925
University of California-Santa Cruz,CA,2007,48500,264,2714
California Beauty School,CA,2007,0,8,20
California Christian College,CA,2007,23900,34,75
California College San Diego,CA,2007,54900,8,58
Le Cordon Bleu College of Culiry Arts-San Francisco,CA,2007,40900,103,585
California Hair Design Academy,CA,2007,0,9,39
California Institute of the Arts,CA,2007,30400,43,257
California State University Maritime Academy,CA,2007,81200,16,160
Cada College,CA,2007,32400,36,166
College of the Canyons,CA,2007,36200,74,406
Career Academy of Beauty,CA,2007,14400,19,68
Casa Loma College-Van Nuys,CA,2007,47000,31,219
CET-San Diego,CA,2007,24000,312,1216
CET-San Jose,CA,2007,24000,312,1216
CET-El Centro,CA,2007,24000,312,1216
CET-Colton,CA,2007,24000,312,1216
CET-Watsonville,CA,2007,24000,312,1216
CET-Gilroy,CA,2007,24000,312,1216
CET-Salis,CA,2007,24000,312,1216
Cerritos College,CA,2007,35600,522,2876
Cerro Coso Community College,CA,2007,25200,175,455
Chabot College,CA,2007,37700,316,1397
Chaffey College,CA,2007,33600,233,1140
Chapman University,CA,2007,57800,299,2657
Charles R Drew University of Medicine and Science,CA,2007,75800,20,178
Concordia University-Irvine,CA,2007,52600,77,404
San Diego Christian College,CA,2007,38800,46,243
Citrus College,CA,2007,32000,213,969
City College of San Francisco,CA,2007,39300,144,521
Claremont McKen College,CA,2007,73400,22,210
Milan Institute-Visalia,CA,2007,25100,179,669
Cleveland Chiropractic College of Los Angeles,CA,2007,30300,26,83
Clovis Adult Education,CA,2007,33900,8,71
Coastline Community College,CA,2007,33000,47,156
Cogswell College,CA,2007,54500,18,124
Coleman University,CA,2007,59600,187,1390
tiol Polytechnic College of Science,CA,2007,51500,55,427
Columbia College,CA,2007,27200,92,328
Columbia College Hollywood,CA,2007,32500,21,70
El Camino College-Compton Center,CA,2007,34300,355,1929
Western Beauty Institute,CA,2007,16900,26,84
Contra Costa College,CA,2007,34400,208,706
Cosumnes River College,CA,2007,31900,291,998
Crafton Hills College,CA,2007,36600,146,651
Cuesta College,CA,2007,35200,204,915
Cuyamaca College,CA,2007,26700,167,539
Marinello Schools of Beauty-Bell,CA,2007,16100,113,300
Cypress College,CA,2007,36800,259,1221
De Anza College,CA,2007,46600,255,1262
Dell'Arte Intertiol School of Physical Theatre,CA,2007,0,0,0
College of the Desert,CA,2007,33100,290,1173
Design Institute of San Diego,CA,2007,33200,60,155
DeVry University-California,CA,2007,48700,1416,13591
Diablo Valley College,CA,2007,42200,191,869
Dominican University of California,CA,2007,51700,60,401
East Los Angeles College,CA,2007,34300,280,1844
Marinello Schools of Beauty-Santa Clara,CA,2007,0,9,29
San Diego Continuing Education,CA,2007,24500,67,129
El Camino Community College District,CA,2007,34300,355,1929
Elegance Intertiol,CA,2007,0,0,0
Marinello Schools of Beauty-City of Industry,CA,2007,15700,25,52
Marinello Schools of Beauty-Burbank,CA,2007,0,19,43
Marinello Schools of Beauty-Moreno Valley,CA,2007,17800,21,60
Empire College,CA,2007,36800,178,643
Evergreen Valley College,CA,2007,38100,182,766
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,2007,34600,414,1749
Fashion Careers College,CA,2007,38800,33,92
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,2007,34600,414,1749
FIDM-Fashion Institute of Design & Merchandising-Orange County,CA,2007,34600,414,1749
Feather River Community College District,CA,2007,22800,41,159
Federico Beauty Institute,CA,2007,18600,39,158
Foothill College,CA,2007,50600,86,472
Fredrick and Charles Beauty College,CA,2007,0,12,16
Fresno City College,CA,2007,29600,784,3853
Fresno Pacific University,CA,2007,48800,44,349
Fullerton College,CA,2007,35300,250,1205
Galen College of Medical and Dental Assistants,CA,2007,24900,128,636
Galen College of Medical and Dental Assistants,CA,2007,24900,128,636
Gavilan College,CA,2007,31000,91,377
Gemological Institute of America-Carlsbad,CA,2007,47700,30,120
Glendale Community College,CA,2007,33100,391,1877
Glendale Career College,CA,2007,31500,423,2076
Golden Gate University-San Francisco,CA,2007,62900,39,209
Golden West College,CA,2007,32900,396,1367
Grossmont College,CA,2007,34200,398,1758
Salon Success Academy-Riverside,CA,2007,0,11,29
Hartnell College,CA,2007,33500,155,815
Harvey Mudd College,CA,2007,85900,14,162
Heald College-Rancho Cordova,CA,2007,35500,133,744
Heald College-Fresno,CA,2007,32900,123,645
Heald College-San Jose,CA,2007,52100,115,820
Heald College-San Francisco,CA,2007,39800,302,1841
Heald College-Concord,CA,2007,55700,130,655
Hilltop Beauty School,CA,2007,21500,34,111
Holy mes University,CA,2007,57000,27,172
Humboldt State University,CA,2007,40200,222,1701
Humphreys University-Stockton and Modesto Campuses,CA,2007,30500,112,365
Imperial Valley College,CA,2007,26300,227,1335
Institute for Business and Technology,CA,2007,35200,164,615
LA College Intertiol,CA,2007,38900,41,171
Interior Designers Institute,CA,2007,33500,30,84
Toni & Guy Hairdressing Academy-Santa Monica,CA,2007,18700,22,51
Irvine Valley College,CA,2007,38500,196,781
ITT Technical Institute-tiol City,CA,2007,47200,102,920
ITT Technical Institute-San Dimas,CA,2007,44900,97,894
ITT Technical Institute-Orange,CA,2007,48600,131,1046
Bellus Academy-El Cajon,CA,2007,18100,25,74
John F. Kennedy University,CA,2007,47800,17,61
American Jewish University,CA,2007,0,10,29
Reedley College,CA,2007,28600,345,1860
Life Pacific College,CA,2007,29900,24,93
Argosy University-The Art Institute of California-San Diego,CA,2007,35900,37,223
University of La Verne,CA,2007,60800,111,1189
Lagu College of Art and Design,CA,2007,35400,18,97
Lake Tahoe Community College,CA,2007,25900,47,144
Lancaster Beauty School,CA,2007,14100,29,54
Laney College,CA,2007,30500,416,1171
Lassen Community College,CA,2007,30000,113,298
Southern California Semiry,CA,2007,0,0,0
La Sierra University,CA,2007,51000,66,461
Loma Linda University,CA,2007,71800,44,527
Long Beach City College,CA,2007,31200,841,3478
Los Angeles Harbor College,CA,2007,34500,242,1041
Los Angeles Pierce College,CA,2007,37300,186,845
Los Angeles Southwest College,CA,2007,29500,162,703
Los Angeles Trade Technical College,CA,2007,31500,384,1760
Los Angeles Valley College,CA,2007,36900,251,1243
The Master's University and Semiry,CA,2007,45800,84,327
Los Angeles City College,CA,2007,29200,647,1554
Los Angeles County College of Nursing and Allied Health,CA,2007,86600,4,62
Los Angeles Mission College,CA,2007,33800,79,381
Los Medanos College,CA,2007,28900,160,509
Argosy University-The Art Institute of California-San Francisco,CA,2007,0,0,0
Loyola Marymount University,CA,2007,59400,128,1258
Manchester Beauty College,CA,2007,14600,29,59
Tulare Beauty College,CA,2007,0,0,0
Lyle's College of Beauty,CA,2007,15700,48,143
