INSTNM,STABBR,year,earnings_med,count_not_working,count_working
Sampson Community College,NC,2014,24600,135,428
Sandhills Community College,NC,2014,24800,298,1083
Shaw University,NC,2014,29200,161,1013
Paul Mitchell the School-Fayetteville,NC,2014,0,0,0
St. Andrews University,NC,2014,37200,51,384
Empire Beauty School-Matthews,NC,2014,18200,147,414
Southeastern Community College,NC,2014,24900,198,677
Southwestern Community College,NC,2014,25200,126,552
Stanly Community College,NC,2014,28200,97,385
Surry Community College,NC,2014,27900,155,627
Alamance Community College,NC,2014,26900,264,890
Tri-County Community College,NC,2014,22600,114,301
Vance-Granville Community College,NC,2014,24200,368,1297
Wake Forest University,NC,2014,63800,59,752
Wake Technical Community College,NC,2014,31000,415,2045
Warren Wilson College,NC,2014,25600,42,254
Watts School of Nursing,NC,2014,0,0,0
Wayne Community College,NC,2014,27400,233,895
Western Piedmont Community College,NC,2014,25200,227,818
Wilkes Community College,NC,2014,25800,220,798
Wilson Community College,NC,2014,24100,160,636
Wingate University,NC,2014,43200,54,591
Caroli Christian College,NC,2014,0,0,0
Winston Salem Barber School,NC,2014,0,0,0
Winston-Salem State University,NC,2014,33200,204,1801
Western Caroli University,NC,2014,37700,310,2258
Rasmussen College-North Dakota,ND,2014,32600,182,1350
Bismarck State College,ND,2014,44800,150,1695
Dickinson State University,ND,2014,41700,97,937
Nueta Hidatsa Sahnish College,ND,2014,28600,75,93
Josef's School of Hair Design Inc-Grand Forks,ND,2014,24700,0,0
Headquarters Academy of Hair Design Inc,ND,2014,0,0,0
University of Jamestown,ND,2014,43800,40,459
Josef's School of Hair Design Inc-Fargo Downtown,ND,2014,21900,0,0
Lake Region State College,ND,2014,35800,47,393
Cankdeska Cika Community College,ND,2014,16400,34,93
University of Mary,ND,2014,48000,76,1144
Mayville State University,ND,2014,39300,30,368
Minot State University,ND,2014,41200,148,1165
Moler Barber College,ND,2014,0,0,0
University of North Dakota,ND,2014,48700,237,3837
North Dakota State College of Science,ND,2014,43400,117,1578
Dakota College at Bottineau,ND,2014,37900,49,284
North Dakota State University-Main Campus,ND,2014,48200,245,3770
Williston State College,ND,2014,39800,86,502
JZ Trend Academy Paul Mitchell Partner School,ND,2014,21900,0,0
Sitting Bull College,ND,2014,19100,52,132
Trinity Bible College and Graduate School,ND,2014,27000,30,162
Turtle Mountain Community College,ND,2014,23200,88,250
United Tribes Technical College,ND,2014,17500,134,280
Valley City State University,ND,2014,39300,29,365
ETI Technical College,OH,2014,23600,77,257
The Art Institute of Cincinti-AIC College of Design,OH,2014,35700,0,0
Miami-Jacobs Career College-Independence,OH,2014,25300,290,1103
Herzing University-Akron,OH,2014,37800,169,788
University of Akron Main Campus,OH,2014,36500,854,5737
Akron School of Practical Nursing,OH,2014,39300,0,0
University of Akron Wayne College,OH,2014,36500,854,5737
Allegheny Wesleyan College,OH,2014,0,0,0
Antonelli College-Cincinti,OH,2014,20300,281,981
Apollo Career Center,OH,2014,28200,0,0
Art Academy of Cincinti,OH,2014,25800,0,0
Ashland County-West Holmes Career Center,OH,2014,0,0,0
Ashland University,OH,2014,40400,142,1529
Ashtabula County Technical and Career Campus,OH,2014,29900,51,117
Auburn Career Center,OH,2014,0,0,0
Aultman College of Nursing and Health Sciences,OH,2014,60500,0,0
Baldwin Wallace University,OH,2014,44400,86,1213
Belmont College,OH,2014,29600,220,879
Bluffton University,OH,2014,39000,38,457
Fortis College-Raven,OH,2014,25800,116,545
Bowling Green State University-Firelands,OH,2014,40500,519,6111
Bowling Green State University-Main Campus,OH,2014,40500,519,6111
Bryant & Stratton College-Parma,OH,2014,24100,1204,4764
Buckeye Hills Career Center,OH,2014,30600,0,0
Butler Tech-D Russel Lee Career Center,OH,2014,35300,73,387
Canton City Schools Adult Career and Technical Education,OH,2014,25800,47,157
Capital University,OH,2014,44000,124,1071
Carousel Beauty College-Middletown,OH,2014,15900,0,0
Carousel Beauty College-Dayton,OH,2014,17500,62,149
Case Western Reserve University,OH,2014,74600,115,1371
Cedarville University,OH,2014,41300,154,942
Central Ohio Technical College,OH,2014,32300,283,1537
Central School of Practical Nursing,OH,2014,37600,0,0
Central State University,OH,2014,26100,142,950
Chatfield College,OH,2014,22700,0,0
Choffin Career  and Technical Center,OH,2014,28900,30,129
The Christ College of Nursing and Health Sciences,OH,2014,56200,0,0
Cincinti Christian University,OH,2014,32700,51,298
Cincinti College of Mortuary Science,OH,2014,46500,0,0
University of Cincinti-Main Campus,OH,2014,42300,1061,8794
Cincinti State Technical and Community College,OH,2014,31200,595,3738
University of Cincinti-Clermont College,OH,2014,42300,1061,8794
University of Cincinti-Blue Ash College,OH,2014,42300,1061,8794
Ohio Christian University,OH,2014,31800,26,187
Clark State Community College,OH,2014,28800,342,1409
Scott College of Cosmetology,WV,2014,16900,29,96
Cleveland Institute of Art,OH,2014,36600,0,0
Cleveland Institute of Dental-Medical Assistants-Cleveland,OH,2014,21800,225,892
Cleveland Institute of Music,OH,2014,40100,0,0
Cleveland State University,OH,2014,41300,508,3440
Columbia County Career and Technical Center,OH,2014,26400,0,0
Bradford School,OH,2014,26200,66,362
Columbus College of Art and Design,OH,2014,32200,78,517
Columbus State Community College,OH,2014,32200,1548,8299
Cuyahoga Community College District,OH,2014,27000,2118,7690
Davis College,OH,2014,22700,74,326
Dayton Barber College,OH,2014,13500,41,74
University of Dayton,OH,2014,55100,128,2096
Defiance College,OH,2014,41000,35,438
Denison University,OH,2014,48800,28,495
Eastern Hills Academy of Hair Design,OH,2014,19400,0,0
Edison State Community College,OH,2014,29200,196,916
EHOVE Career Center,OH,2014,33200,51,286
Bryant & Stratton College-Cleveland,OH,2014,24100,1204,4764
Regency Beauty Institute-Cleveland,OH,2014,16600,36,94
The University of Findlay,OH,2014,43200,85,1177
Franklin University,OH,2014,48500,342,2208
Gerbers Akron Beauty School,OH,2014,18500,26,68
Gods Bible School and College,OH,2014,22600,0,0
Good Samaritan College of Nursing and Health Science,OH,2014,52600,0,0
Great Oaks Career Campuses,OH,2014,42500,69,432
Hanh E Mullins School of Practical Nursing,OH,2014,33600,0,0
Adult and Community Education-Hudson,OH,2014,40300,32,152
Heidelberg University,OH,2014,39300,37,553
Hiram College,OH,2014,42700,42,391
Hobart Institute of Welding Technology,OH,2014,50700,0,0
Hocking College,OH,2014,29700,593,2525
American School of Technology,OH,2014,22900,176,612
Ross Medical Education Center-Cincinti,OH,2014,27300,45,176
Intertiol College of Broadcasting,OH,2014,23400,38,109
ITT Technical Institute-Dayton,OH,2014,39400,673,4207
Eastern Gateway Community College,OH,2014,25700,194,593
John Carroll University,OH,2014,53800,61,1012
Hondros College of Nursing,OH,2014,0,0,0
Casal Aveda Institute,OH,2014,15400,0,0
Kent State University at Ashtabula,OH,2014,38000,1214,9943
Kent State University at East Liverpool,OH,2014,38000,1214,9943
Kent State University at Stark,OH,2014,38000,1214,9943
Kent State University at Trumbull,OH,2014,38000,1214,9943
Kent State University at Tuscarawas,OH,2014,38000,1214,9943
Kent State University at Salem,OH,2014,38000,1214,9943
Kent State University at Kent,OH,2014,38000,1214,9943
Kent State University at Geauga,OH,2014,38000,1214,9943
Kenyon College,OH,2014,48700,0,0
Kettering College,OH,2014,54500,36,375
Lake Erie College,OH,2014,36200,49,293
Lakeland Community College,OH,2014,32200,379,1758
O C Collins Career Center,OH,2014,33500,92,384
James A Rhodes State College,OH,2014,32300,173,1110
Ohio Business College-Sheffield,OH,2014,23700,105,357
Ohio Business College-Sandusky,OH,2014,23700,105,357
Lorain County Community College,OH,2014,30200,487,2394
Lourdes University,OH,2014,36500,105,579
Malone University,OH,2014,41700,103,859
Marietta College,OH,2014,45800,47,639
Marion Technical College,OH,2014,30000,214,795
Medi County Career Center,OH,2014,0,0,0
Mercy College of Ohio,OH,2014,51100,41,330
Miami University-Hamilton,OH,2014,47100,507,4600
Miami University-Middletown,OH,2014,47100,507,4600
Miami University-Oxford,OH,2014,47100,507,4600
Miami-Jacobs Career College-Dayton,OH,2014,25300,290,1103
Moler Hollywood Beauty Academy,OH,2014,15400,0,0
Miami Valley Career Technology Center,OH,2014,37400,27,162
Mount Carmel College of Nursing,OH,2014,57700,0,0
University of Mount Union,OH,2014,42900,55,788
Mount Vernon zarene University,OH,2014,43600,97,963
Mount Saint Joseph University,OH,2014,41400,66,692
Zane State College,OH,2014,29800,188,857
Muskingum University,OH,2014,39600,47,646
Fortis College-Cuyahoga Falls,OH,2014,24100,146,508
Brown Mackie College-North Canton,OH,2014,29400,200,820
tiol Beauty College,OH,2014,17400,0,0
North Central State College,OH,2014,27900,267,1321
Northern Institute of Cosmetology,OH,2014,0,0,0
Northwest State Community College,OH,2014,30900,171,1029
Toledo Public Schools Adult and Continuing Education,OH,2014,37200,35,173
Notre Dame College,OH,2014,42600,48,462
University of Northwestern Ohio,OH,2014,40800,195,2108
Oberlin College,OH,2014,40800,72,582
Ohio College of Massotherapy Inc,OH,2014,24900,43,203
Ohio Technical College,OH,2014,37000,99,619
Ohio Dominican University,OH,2014,41000,138,1250
Brightwood College-Dayton,OH,2014,22200,252,804
Ohio Northern University,OH,2014,63500,49,1136
Ohio State University Agricultural Technical Institute,OH,2014,46100,1277,13467
Ohio State University-Lima Campus,OH,2014,46100,1277,13467
Ohio State University-Mansfield Campus,OH,2014,46100,1277,13467
Ohio State University-Marion Campus,OH,2014,46100,1277,13467
Ohio State University-Newark Campus,OH,2014,46100,1277,13467
Ohio State Beauty Academy,OH,2014,15900,41,166
Ohio State College of Barber Styling,OH,2014,15800,50,87
The Spa School,OH,2014,20200,55,159
Ohio State School of Cosmetology-Cal Winchester,OH,2014,19300,26,101
Ohio State University-Main Campus,OH,2014,46100,1277,13467
Ohio University-Eastern Campus,OH,2014,40500,995,8039
Ohio University-Chillicothe Campus,OH,2014,40500,995,8039
Ohio University-Southern Campus,OH,2014,40500,995,8039
Ohio University-Lancaster Campus,OH,2014,40500,995,8039
Ohio University-Main Campus,OH,2014,40500,995,8039
Ohio University-Zanesville Campus,OH,2014,40500,995,8039
Ohio Valley College of Technology,OH,2014,20800,45,150
Trinity Health System School of Nursing,OH,2014,49700,0,0
Ohio Wesleyan University,OH,2014,45300,38,519
Otterbein University,OH,2014,43100,82,1007
Owens Community College,OH,2014,31100,1180,5685
Paramount Beauty Academy,OH,2014,0,0,0
Cuyahoga Valley Career Center,OH,2014,37600,0,0
Pontifical College Josephinum,OH,2014,0,0,0
Professiol Skills Institute,OH,2014,29500,58,276
Firelands Regiol Medical Center School of Nursing,OH,2014,46100,0,0
Rabbinical College Telshe,OH,2014,0,0,0
Raphael's School of Beauty Culture Inc-Niles,OH,2014,16400,30,103
Fortis College-Centerville,OH,2014,33200,192,824
University of Rio Grande,OH,2014,33900,231,1059
Advertising Art Educatiol Services DBA School of Advertising Art,OH,2014,31200,0,0
Shawnee State University,OH,2014,34200,376,1572
Sinclair Community College,OH,2014,29200,1244,5092
Gallipolis Career College,OH,2014,15300,66,107
Daymar College-New Boston,OH,2014,17500,102,236
Daymar College-Jackson,OH,2014,17500,102,236
Daymar College-Columbus,OH,2014,17500,102,236
Daymar College-Chillicothe,OH,2014,17500,102,236
Brown Mackie College-Cincinti,OH,2014,29400,200,820
Brown Mackie College-Akron,OH,2014,29400,200,820
Stark State College,OH,2014,32500,429,2343
Stautzenberger College-Maumee,OH,2014,25800,147,593
Franciscan University of Steubenville,OH,2014,37700,172,703
Southern State Community College,OH,2014,27800,305,1104
Terra State Community College,OH,2014,29700,164,851
Tiffin Academy of Hair Design,OH,2014,19300,0,0
Tiffin University,OH,2014,42600,60,653
University of Toledo,OH,2014,43800,617,5525
Kaplan Career Institute-Cleveland,OH,2014,23200,79,205
Tri-State Bible College,OH,2014,0,0,0
Tri-County Adult Career Center,OH,2014,0,0,0
Tri-Rivers Career Center,OH,2014,43000,0,0
Trumbull Business College,OH,2014,21300,100,316
Union Institute & University,OH,2014,42400,136,730
Upper Valley Career Center,OH,2014,33000,0,0
Urba University,OH,2014,35200,57,488
Ursuline College,OH,2014,47800,49,436
Valley Beauty School,OH,2014,15500,32,77
Virginia Marti College of Art and Design,OH,2014,27800,34,168
Walsh University,OH,2014,43500,71,842
Washington State Community College,OH,2014,27100,224,872
Western Hills School of Beauty and Hair Design,OH,2014,18800,25,129
Wilberforce University,OH,2014,34200,44,491
Wilmington College,OH,2014,40000,57,655
Wittenberg University,OH,2014,43200,50,730
The College of Wooster,OH,2014,46300,37,485
Wright State University-Main Campus,OH,2014,39500,480,4459
Wright State University-Lake Campus,OH,2014,39500,480,4459
Xavier University,OH,2014,51600,77,1097
ITT Technical Institute-Youngstown,OH,2014,39400,673,4207
Youngstown State University,OH,2014,35900,486,3663
American Broadcasting School-Oklahoma City,OK,2014,27900,81,318
Bacone College,OK,2014,34500,74,543
Oklahoma Wesleyan University,OK,2014,50900,65,521
Southern zarene University,OK,2014,47600,130,979
Broken Arrow Beauty College-Broken Arrow,OK,2014,21500,43,131
Pontotoc Technology Center,OK,2014,27500,55,160
Cameron University,OK,2014,34300,380,1772
Carl Albert State College,OK,2014,26700,334,1204
Central Oklahoma College,OK,2014,16200,48,146
University of Central Oklahoma,OK,2014,38800,557,4260
Claremore Beauty College,OK,2014,0,0,0
Connors State College,OK,2014,29300,253,1010
East Central University,OK,2014,36800,268,1505
Eastern Oklahoma State College,OK,2014,28100,233,867
Redlands Community College,OK,2014,33200,190,885
Enid Beauty College,OK,2014,0,0,0
Eves College of Hairstyling,OK,2014,12400,0,0
Randall University,OK,2014,34500,0,0
Hollywood Cosmetology Center,OK,2014,0,0,0
Langston University,OK,2014,27700,183,1184
Murray State College,OK,2014,30900,277,1036
Spartan College of Aeroutics and Technology,OK,2014,44600,91,788
Northeastern State University,OK,2014,35800,557,3329
Beauty Technical College Inc,OK,2014,0,0,0
Northern Oklahoma College,OK,2014,30900,379,1866
Northeastern Oklahoma A&M College,OK,2014,30500,196,1058
Northwestern Oklahoma State University,OK,2014,36400,118,742
Oklahoma Christian University,OK,2014,38500,134,835
University of Oklahoma-Health Sciences Center,OK,2014,51100,674,5307
Oklahoma Panhandle State University,OK,2014,36700,73,535
Oklahoma State University-Main Campus,OK,2014,46500,698,5513
Oklahoma State University-Oklahoma City,OK,2014,33900,475,2025
Oklahoma Baptist University,OK,2014,40500,79,517
Oklahoma City Community College,OK,2014,33200,651,3095
Oklahoma City University,OK,2014,42800,86,645
University of Oklahoma-Norman Campus,OK,2014,51100,674,5307
Oklahoma School of Photography,OK,2014,29700,0,0
Oklahoma State University Institute of Technology,OK,2014,35300,315,1273
Oral Roberts University,OK,2014,37600,170,959
Tulsa Technology Center-Peoria Campus,OK,2014,31100,61,235
Platt College-Central OKC,OK,2014,25200,528,1706
Rogers State University,OK,2014,34000,334,1489
Rose State College,OK,2014,32900,530,2355
St. Gregory's University,OK,2014,41400,46,356
Jenks Beauty College,OK,2014,17400,74,184
University of Science and Arts of Oklahoma,OK,2014,32000,97,552
Seminole State College,OK,2014,28100,258,936
Southern School of Beauty Inc,OK,2014,17500,47,98
Southeastern Oklahoma State University,OK,2014,35800,252,1509
Southwestern Christian University,OK,2014,29300,0,0
Southwestern Oklahoma State University,OK,2014,39300,314,2016
Tulsa Community College,OK,2014,32900,1068,4687
Tulsa Welding School-Tulsa,OK,2014,37500,313,1174
University of Tulsa,OK,2014,48500,100,779
Virgil's Beauty College,OK,2014,0,0,0
Indian Capital Technology Center-Tahlequah,OK,2014,24700,152,357
Western Oklahoma State College,OK,2014,29600,158,696
Woodward Beauty College,OK,2014,0,0,0
High Plains Technology Center,OK,2014,17700,0,0
Academy of Hair Design-Salem,OR,2014,14900,27,54
Abdill Career College Inc,OR,2014,0,0,0
Paul Mitchell the School-Portland,OR,2014,20500,0,0
The Art Institute of Portland,OR,2014,33900,171,961
Beau Monde College of Hair Design,OR,2014,22300,38,129
Blue Mountain Community College,OR,2014,30200,168,551
Central Oregon Community College,OR,2014,32300,275,1206
Chemeketa Community College,OR,2014,32000,934,3056
Clackamas Community College,OR,2014,33400,387,1462
Clatsop Community College,OR,2014,27100,103,287
College of Hair Design Careers,OR,2014,17900,26,62
Concorde Career College-Portland,OR,2014,30300,212,715
Concordia University-Portland,OR,2014,43300,54,428
Sumner College,OR,2014,32400,48,186
East West College of the Healing Arts,OR,2014,23000,59,173
Eastern Oregon University,OR,2014,41200,221,1155
Phagans School of Hair Design-Portland,OR,2014,21900,47,120
New Hope Christian College-Eugene,OR,2014,29500,29,104
George Fox University,OR,2014,45100,108,755
Phagans Grants Pass College of Beauty,OR,2014,15300,0,0
ITT Technical Institute-Portland,OR,2014,39400,673,4207
Lane Community College,OR,2014,30600,1076,3213
Lewis & Clark College,OR,2014,46200,71,568
Linfield College-McMinnville Campus,OR,2014,55200,74,923
Linn-Benton Community College,OR,2014,32300,502,1870
Northwest College-Beaverton,OR,2014,22300,45,103
Marylhurst University,OR,2014,35300,71,301
Phagans Medford Beauty School,OR,2014,12500,36,85
Northwest College-Clackamas,OR,2014,22300,45,103
Mount Angel Semiry,OR,2014,0,0,0
Mt Hood Community College,OR,2014,33400,481,1931
Multnomah University,OR,2014,34100,54,241
Northwest nnies Institute,OR,2014,22500,31,50
Northwest Christian University,OR,2014,43100,46,244
Oregon Health & Science University,OR,2014,89000,0,0
Oregon Institute of Technology,OR,2014,56600,119,956
Oregon College of Art and Craft,OR,2014,25100,0,0
Oregon State University,OR,2014,49600,546,4887
University of Oregon,OR,2014,44800,584,4641
Pacific Northwest College of Art,OR,2014,27400,31,167
Pacific University,OR,2014,46600,55,484
Phagans Beauty College,OR,2014,18500,30,79
Phagans Central Oregon Beauty College,OR,2014,17700,39,109
Phagans School of Beauty,OR,2014,18400,37,57
Phagans School of Hair Design,OR,2014,14600,0,0
Summit Salon Academy-Portland,OR,2014,0,0,0
Portland Community College,OR,2014,36100,1614,6225
Portland State University,OR,2014,44700,901,5172
University of Portland,OR,2014,58800,73,902
Reed College,OR,2014,42200,28,206
Rogue Community College,OR,2014,27500,589,1429
Roseburg Beauty College,OR,2014,0,0,0
Pioneer Pacific College,OR,2014,30500,380,1345
Springfield College of Beauty,OR,2014,18100,33,81
Southern Oregon University,OR,2014,39000,241,1592
Southwestern Oregon Community College,OR,2014,31400,160,599
Treasure Valley Community College,OR,2014,27200,205,959
Umpqua Community College,OR,2014,29300,173,575
Warner Pacific College,OR,2014,41000,62,354
Corban University,OR,2014,37600,83,367
College of Cosmetology,OR,2014,18700,28,59
Everest College-Portland,OR,2014,25300,755,2600
Willamette University,OR,2014,51100,59,571
Western Oregon University,OR,2014,39700,230,1681
University of Western States,OR,2014,50400,0,0
Abington Memorial Hospital Dixon School of Nursing,PA,2014,69700,0,0
Jolie Hair and Beauty Academy-Hazleton,PA,2014,0,0,0
Keystone Technical Institute,PA,2014,21000,59,205
Bryn Athyn College of the New Church,PA,2014,0,0,0
Albright College,PA,2014,46700,71,950
All-State Career School-Lester,PA,2014,38500,212,695
Community College of Allegheny County,PA,2014,32000,1003,5223
Allegheny College,PA,2014,50900,66,637
The  Beauty Institute,PA,2014,23100,0,0
DeSales University,PA,2014,49700,62,855
Altoo Beauty School Inc,PA,2014,17200,0,0
Alvernia University,PA,2014,44500,113,864
The Beauty Institute-Ambler,PA,2014,20900,28,58
Antonelli Institute,PA,2014,25400,0,0
The Art Institutes of York-PA,PA,2014,33300,80,402
The Art Institute of Philadelphia,PA,2014,30600,445,2202
Career Training Academy-Lower Burrell,PA,2014,23100,84,296
The Art Institute of Pittsburgh,PA,2014,33000,945,4095
Automotive Training Center-Exton,PA,2014,44100,79,537
Clarks Summit University,PA,2014,32000,61,294
Community College of Beaver County,PA,2014,34700,158,944
Arcadia University,PA,2014,44100,97,869
Bidwell Training Center Inc,PA,2014,0,0,0
Bloomsburg University of Pennsylvania,PA,2014,44500,245,2839
Bradford School,PA,2014,27300,73,384
Bryn Mawr College,PA,2014,54600,50,310
Bucknell University,PA,2014,70800,53,704
Bucks County Community College,PA,2014,38600,258,1453
Bucks County School of Beauty Culture Inc,PA,2014,24400,0,0
Butler Beauty Academy,PA,2014,16200,75,171
Butler County Community College,PA,2014,31100,239,1387
Cabrini University,PA,2014,46600,67,641
California University of Pennsylvania,PA,2014,41600,267,2454
Cambria-Rowe Business College-Johnstown,PA,2014,23800,91,326
Carlow University,PA,2014,39700,93,775
Carnegie Mellon University,PA,2014,83600,146,1191
Cedar Crest College,PA,2014,46700,65,687
Central Penn College,PA,2014,35300,78,708
Chatham University,PA,2014,36600,27,160
Chestnut Hill College,PA,2014,43600,62,474
Cheyney University of Pennsylvania,PA,2014,29400,100,668
Brightwood Career Institute-Philadelphia Mills,PA,2014,31400,204,846
Citizens School of Nursing,PA,2014,57500,0,0
Clarion University of Pennsylvania,PA,2014,37900,259,2254
DLP Conemaugh Memorial Medical Center,PA,2014,56000,0,0
Consolidated School of Business-York,PA,2014,26600,34,166
Curtis Institute of Music,PA,2014,0,0,0
Dean Institute of Technology,PA,2014,37600,25,123
Delaware County Community College,PA,2014,36900,395,2081
Delaware Valley University,PA,2014,42100,71,797
Dickinson College,PA,2014,57400,44,494
Douglas Education Center,PA,2014,23400,65,253
Drexel University,PA,2014,68800,352,4190
Du Bois Business College-Du Bois,PA,2014,23700,83,281
Everest Institute-Pittsburgh,PA,2014,21700,269,813
Duquesne University,PA,2014,58500,142,2272
East Stroudsburg University of Pennsylvania,PA,2014,44600,157,2129
Eastern University,PA,2014,42500,129,961
Edinboro University of Pennsylvania,PA,2014,35400,285,2735
Elizabethtown College,PA,2014,51300,49,795
Empire Beauty School-State College,PA,2014,20700,57,192
Empire Beauty School-Lebanon,PA,2014,16500,115,388
Empire Beauty School-York,PA,2014,18500,789,2438
Empire Beauty School-Lancaster,PA,2014,20300,74,274
Empire Beauty School-Williamsport,PA,2014,16500,115,388
Empire Beauty School-Shamokin Dam,PA,2014,20300,74,274
Empire Beauty School-Pottsville,PA,2014,20700,57,192
Empire Beauty  School-Lehigh Valley,PA,2014,20300,74,274
Empire Beauty School-Gwinnett,GA,2014,20700,57,192
Empire Beauty School-Wyoming Valley,PA,2014,18500,789,2438
Empire Beauty School-Warminster,PA,2014,17100,95,249
Empire Beauty School-Harrisburg,PA,2014,16500,115,388
Empire Beauty School-Reading,PA,2014,18500,789,2438
Erie Institute of Technology Inc,PA,2014,29700,38,177
Aria Health School of Nursing,PA,2014,66300,0,0
Franklin and Marshall College,PA,2014,58900,30,398
Gannon University,PA,2014,48100,80,948
Geneva College,PA,2014,38700,134,791
Gettysburg College,PA,2014,56100,38,710
Empire Beauty School-Exton,PA,2014,20300,74,274
Empire Beauty School-Laurel Springs,NJ,2014,21900,74,300
Empire Beauty School-NE Philadelphia,PA,2014,21900,74,300
Gwynedd Mercy University,PA,2014,54300,72,853
Harcum College,PA,2014,45100,60,375
Harrisburg Area Community College,PA,2014,34900,832,5332
Haverford College,PA,2014,60700,0,0
Commonwealth Technical Institute,PA,2014,12500,106,105
Holy Family University,PA,2014,52700,72,844
Hussian College School of Art,PA,2014,34500,0,0
Brightwood Career Institute-Pittsburgh,PA,2014,22000,305,1212
Immaculata University,PA,2014,50600,77,526
India University of Pennsylvania-Main Campus,PA,2014,40800,464,4659
Jameson Health System,PA,2014,58000,0,0
Great Lakes Institute of Technology,PA,2014,22300,144,598
Jolie Hair and Beauty Academy-Wilkes-Barre,PA,2014,0,0,0
Johnson College,PA,2014,40500,42,281
Juniata College,PA,2014,49200,33,514
Keystone College,PA,2014,33100,109,845
King's College,PA,2014,51000,55,838
Butler Beauty Academy-Kittanning Beauty Academy,PA,2014,16200,75,171
Kutztown University of Pennsylvania,PA,2014,41600,269,3263
La Roche College,PA,2014,40400,53,512
La Salle University,PA,2014,58000,138,1551
Lackawan College,PA,2014,32700,174,1042
Lafayette College,PA,2014,68600,31,470
Lancaster Bible College,PA,2014,34300,59,293
Lancaster School of Cosmetology & Therapeutic Bodywork,PA,2014,27100,35,162
Lansdale School of Business,PA,2014,29500,58,224
Lansdale School of Cosmetology Inc,PA,2014,0,0,0
Lebanon Valley College,PA,2014,45800,31,678
Lehigh Carbon Community College,PA,2014,33000,361,2280
Berks Technical Institute,PA,2014,29000,136,639
Lehigh University,PA,2014,81900,65,1047
Levittown Beauty Academy,PA,2014,20500,33,106
Lincoln Technical Institute-Allentown,PA,2014,37100,321,2182
Lincoln Technical Institute-Philadelphia,PA,2014,41500,224,1363
Lincoln University,PA,2014,34600,116,729
Lock Haven University,PA,2014,41500,179,2023
St Margaret School of Nursing,PA,2014,49600,0,0
Luzerne County Community College,PA,2014,31500,310,2132
Lycoming College,PA,2014,45700,58,595
Manor College,PA,2014,38100,79,477
Mansfield University of Pennsylvania,PA,2014,38600,159,1417
Marywood University,PA,2014,39600,67,714
Vet Tech Institute,PA,2014,26400,56,347
Roxborough Memorial Hospital School of Nursing,PA,2014,73200,0,0
Mercyhurst University,PA,2014,40300,187,1816
Messiah College,PA,2014,45100,122,922
The Workforce Institute's City College,PA,2014,18100,56,119
Millersville University of Pennsylvania,PA,2014,43500,216,2490
Misericordia University,PA,2014,50400,60,818
Montgomery County Community College,PA,2014,37300,322,2020
Moore College of Art and Design,PA,2014,33300,32,218
Moravian College,PA,2014,51100,40,642
Mount Aloysius College,PA,2014,40800,114,795
Muhlenberg College,PA,2014,59400,32,557
Brightwood Career Institute-Philadelphia,PA,2014,23400,682,2324
Neumann University,PA,2014,44300,102,949
New Castle School of Trades,PA,2014,36400,125,504
Northampton County Area Community College,PA,2014,32000,424,2273
Ohio Valley Hospital School of Nursing,PA,2014,0,0,0
Orleans Technical College,PA,2014,29200,275,603
Pennsylvania Academy of Cosmetology Arts and Sciences-Johnstown,PA,2014,13700,39,136
Pennsylvania Institute of Technology,PA,2014,28600,66,219
Pennsylvania State University-Penn State Erie-Behrend College,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State New Kensington,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Shengo,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Wilkes-Barre,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Worthington Scranton,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Lehigh Valley,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Altoo,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Beaver,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Berks,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Harrisburg,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Brandywine,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State DuBois,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Fayette- Eberly,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Hazleton,PA,2014,50100,1761,20316
Pennsylvania State University-Main Campus,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Greater Allegheny,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Mont Alto,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Abington,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State Schuylkill,PA,2014,50100,1761,20316
Pennsylvania State University-Penn State York,PA,2014,50100,1761,20316
Peirce College,PA,2014,46500,125,670
Penn Commercial Business/Technical School,PA,2014,25700,118,404
Pennco Tech-Bristol,PA,2014,34200,133,633
Pennsylvania Academy of Cosmetology Arts and Sciences-Du Bois,PA,2014,13700,39,136
Pennsylvania Academy of the Fine Arts,PA,2014,20200,0,0
Pennsylvania Gunsmith School,PA,2014,0,0,0
Pennsylvania Institute of Taxidermy Inc,PA,2014,41500,0,0
Cortiva Institute-Pennsylvania School of Muscle Therapy,PA,2014,0,0,0
Pennsylvania College of Art and Design,PA,2014,28400,0,0
University of Pennsylvania,PA,2014,85900,299,2777
